PLUGIN NAME,INSTALLED VERSION,ALLOWED VERSION,AIUTHOR,DESCRIPTION,DISALLOWED COMPONENTS
Pufferfish,3.0.0.0,Up to 3.0.0.0,Michael Pryor,"Components for Tweens, Blends, Morphs, Averages, Interpolations, & Transformations - essentially Shape Changing.",None
RiederLswPlugin,2.7.7,Up to 2.7.7,ShapeDiver,RiederLsw Grasshopper plugin,None
Room Surveyor,0.7.0.1,0.7.0.1,Filipe JS Brandão,"RoomSurveyor implements iterative triangulation algorithms to assist users to survey rooms, either orthogonal or non-orthogonal, and automating the drawing of the as-is survey.",None
SheepMetal,0.6.2.2,0.6.0.1 - 0.6.2.2,Felix Brunold,SheepMetal is a Grasshopper plugin for designing and preparing sheet metal parts.,None
Shortest Walk,1.5.1.0,Up to 1.5.1.0,"McNeel Europe, Giulio Piacentino","The ShortestWalk add-on for Grasshopper exposes one component which, given a network of curves and a list of lines, calculates the shortest route from line start point to line end points in a network.",None
Silkworm,0.1.1.26851,0.1.1.26851,Mamou-Mani Architects,"Silkworm is a plugin that translates Grasshopper and Rhino geometry into GCode for 3d printing. Silkworm allows for the complete and intuitive manipulation of the printer GCode, enabling novel printed material properties to be specified by non-solid geometry and techniques of digital craft.",Check list
sof_gh_sofistik-2022,,2022.0.8126.25801 - 9999.9999.9999.9999,,"Workaround for the hidden ""IO"" component of the Sofistik plugin.",None
Speckle 2,2.23.3.16663,2.20.4 - 2.23.3.16663,AEC Systems,The Speckle connector for Grasshopper.,Check list
Speckle.Connector.Grasshopper,3.6.0.0,3.6.0.0,Speckle,The Speckle connector for Grasshopper.,Check list
Swiftlet,0.2.0.0,Up to 0.2.0.0,Sergey Pigach,"Swiftlet is a tool that lets you call into Web APIs directly from Grasshopper. If you are interested in scraping the internet, tapping into public and private APIs, or testing your own web backends, Swiftlet is a tool for you!",Check list
Telepathy,1.0.0.0,1.0.0.0,Andrew Heumann,Facilitates automatic wireless connection between special parameters.,None
Tree8,0.0.0.0,0.0.0.0,Jissi Choi,Tree8 Components for easy list management.,None
Treesloth,2016.12.12.1,2016.12.12.1,David Stasiuk,"As a 3D CAD software suite, Rhino+Grasshopper is, at its core, a means to create, transform and manage data. Grasshopper’s explicit visual scripting interface structures these operations through the use of DataTrees. Treesloth emerged as a series of tools applied in both professional and research practice to help better negotiate the the types of data relationships within (and between) Grasshopper definitions that enable more complex operations.",Check list
TT Toolbox 2 (CORE.Toolbox.Grasshopper),2.0.3.0,2.0.3.0,Thornton Tomasetti | CORE studio,TTToolbox 2 by Thornton Tomasetti | CORE studio is a refresh of the original plugin for Grasshopper featuring a range of different tools that CORE studio | Thornton Tomasetti uses on a regular basis.,Check list
Weaverbird,0.9.0.1,Up to 0.9.0.1,Giulio Piacentino,"Provides topology and subdivision components, as well as some additional mesh primitives.",None
Wombat,1.1.0.0,1.1.0.0,Woods Bagot Design Technology,"Wombat for GH is an open source series of miscellaneous utilities aimed at improving modeling processes by streamlining common tasks. It includes components for operating on geometry, lists, files and folders, and visualizing the geometric properties of surfaces and meshes.",Check list
